shipment_id,delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,origin_warehouse_id,weather_condition,delayed,distance_km,package_weight_kg,departure_date,expected_delivery_date,actual_delivery_date,carrier_sla_met,delivery_status,delivery_rating,delivery_cost
SHP-17617,7617.0,shadowfax,automobile parts,ev van,two day,east,WH_KOLKATA_E,stormy,no,260.0,21.21,2024-08-26 00:00:00,2024-08-26 07:46:48,2024-08-26 08:17:24,1,delivered,4,1363.63
SHP-17618,7618.0,ecom express,automobile parts,scooter,two day,north,WH_DELHI_N,foggy,no,224.5,24.39,2024-08-27 03:00:00,2024-08-27 09:59:24,2024-08-27 11:32:24,1,delivered,5,1195.67
SHP-17619,7619.0,ekart,clothing,scooter,standard,north,WH_DELHI_N,foggy,no,281.7,22.1,2024-08-28 06:00:00,2024-08-28 14:15:36,2024-08-28 15:18:00,1,delivered,4,1474.8
SHP-17620,7620.0,amazon logistics,automobile parts,scooter,standard,north,WH_DELHI_N,hot,no,44.0,7.53,2024-08-29 09:00:00,2024-08-29 11:58:48,2024-08-29 13:40:12,1,delivered,3,242.59
SHP-17621,7621.0,ecom express,fragile items,ev van,express,east,WH_KOLKATA_E,clear,yes,66.1,46.45,2024-08-30 12:00:00,2024-08-30 15:28:12,2024-08-31 16:43:12,0,delayed,2,519.85
SHP-17622,7622.0,shadowfax,cosmetics,scooter,same day,west,WH_MUMBAI_W,stormy,yes,214.0,9.16,2024-08-31 15:00:00,2024-08-31 21:45:36,2024-09-01 13:54:00,0,delayed,3,1197.48
SHP-17623,7623.0,amazon logistics,groceries,van,express,south,WH_BLR_S,hot,yes,42.0,17.77,2024-09-01 18:00:00,2024-09-01 20:55:48,2024-09-02 15:07:48,0,delayed,2,313.31
SHP-17624,7624.0,blue dart,cosmetics,bike,standard,west,WH_MUMBAI_W,rainy,no,153.6,22.21,2024-09-02 21:00:00,2024-09-03 02:24:36,2024-09-03 02:17:24,1,delivered,3,834.63
SHP-17625,7625.0,amazon logistics,pharmacy,ev van,same day,east,WH_KOLKATA_E,hot,no,205.4,35.04,2024-09-03 00:00:00,2024-09-03 06:33:36,2024-09-03 06:24:36,1,delivered,3,1232.12
SHP-17626,7626.0,shadowfax,automobile parts,bike,same day,west,WH_MUMBAI_W,stormy,yes,63.7,5.42,2024-09-04 03:00:00,2024-09-04 06:25:12,2024-09-05 03:52:48,0,delayed,2,434.76
SHP-17627,7627.0,blue dart,cosmetics,truck,same day,east,WH_KOLKATA_E,foggy,no,121.1,12.5,2024-09-05 06:00:00,2024-09-05 10:41:24,2024-09-05 12:18:00,1,delivered,5,743.0
SHP-17628,7628.0,delhivery,automobile parts,bike,two day,central,WH_NAGPUR_C,cold,no,243.4,42.28,2024-09-06 09:00:00,2024-09-06 16:24:36,2024-09-06 17:18:00,1,delivered,3,1343.84
SHP-17629,7629.0,xpressbees,groceries,van,express,west,WH_MUMBAI_W,clear,no,109.5,32.87,2024-09-07 12:00:00,2024-09-07 16:25:48,2024-09-07 16:51:00,1,delivered,4,696.11
SHP-17630,7630.0,dhl,electronics,truck,same day,central,WH_NAGPUR_C,rainy,yes,207.5,1.44,2024-09-08 15:00:00,2024-09-08 21:36:36,2024-09-09 15:33:36,0,delayed,3,1141.82
SHP-17631,7631.0,ekart,furniture,ev bike,express,central,WH_NAGPUR_C,hot,no,285.9,36.58,2024-09-09 18:00:00,2024-09-10 02:21:00,2024-09-10 02:36:00,1,delivered,4,1589.24
SHP-17632,7632.0,dhl,automobile parts,truck,two day,south,WH_BLR_S,clear,no,229.3,18.08,2024-09-10 21:00:00,2024-09-11 04:06:00,2024-09-11 04:13:48,1,delivered,3,1200.74
SHP-17633,7633.0,ecom express,pharmacy,van,express,south,WH_BLR_S,clear,yes,238.5,39.41,2024-09-11 00:00:00,2024-09-11 07:18:00,2024-09-12 00:03:00,0,delayed,3,1360.73
SHP-17634,7634.0,dhl,cosmetics,scooter,express,south,WH_BLR_S,cold,yes,95.1,5.45,2024-09-12 03:00:00,2024-09-12 07:06:36,2024-09-12 22:11:24,0,delayed,3,541.85
SHP-17635,7635.0,delhivery,pharmacy,ev bike,same day,west,WH_MUMBAI_W,clear,no,51.2,19.19,2024-09-13 06:00:00,2024-09-13 09:08:24,2024-09-13 11:02:24,1,delivered,5,413.57
SHP-17636,7636.0,ekart,pharmacy,ev bike,express,east,WH_KOLKATA_E,cold,yes,222.7,24.02,2024-09-14 09:00:00,2024-09-14 15:57:00,2024-09-15 03:27:00,0,delayed,3,1235.56
SHP-17637,7637.0,blue dart,electronics,ev bike,express,east,WH_KOLKATA_E,hot,yes,134.2,45.04,2024-09-15 12:00:00,2024-09-15 16:58:48,2024-09-15 23:32:24,0,failed,1,856.12
SHP-17638,7638.0,xpressbees,groceries,ev bike,two day,north,WH_DELHI_N,cold,no,208.4,47.48,2024-09-16 15:00:00,2024-09-16 21:37:48,2024-09-16 21:43:48,1,delivered,5,1184.44
SHP-17639,7639.0,amazon logistics,electronics,scooter,standard,east,WH_KOLKATA_E,clear,no,92.4,21.51,2024-09-17 18:00:00,2024-09-17 22:03:00,2024-09-17 21:52:12,1,delivered,4,526.53
SHP-17640,7640.0,amazon logistics,groceries,ev van,standard,north,WH_DELHI_N,rainy,no,63.4,26.74,2024-09-18 21:00:00,2024-09-19 00:24:36,2024-09-19 00:55:48,1,delivered,5,397.22
SHP-17641,7641.0,shadowfax,cosmetics,ev van,two day,central,WH_NAGPUR_C,rainy,no,151.1,20.95,2024-09-19 00:00:00,2024-09-19 05:21:36,2024-09-19 05:22:12,1,delivered,5,818.35
SHP-17642,7642.0,xpressbees,fragile items,van,express,central,WH_NAGPUR_C,hot,no,35.5,12.7,2024-09-20 03:00:00,2024-09-20 05:47:24,2024-09-20 06:58:12,1,delivered,5,265.6
SHP-17643,7643.0,dhl,documents,scooter,two day,north,WH_DELHI_N,rainy,no,169.9,17.7,2024-09-21 06:00:00,2024-09-21 11:46:48,2024-09-21 12:18:36,1,delivered,4,902.6
SHP-17644,7644.0,shadowfax,pharmacy,van,same day,east,WH_KOLKATA_E,rainy,no,74.1,41.79,2024-09-22 09:00:00,2024-09-22 12:39:00,2024-09-22 12:02:24,1,delivered,5,595.87
SHP-17645,7645.0,delhivery,documents,van,standard,west,WH_MUMBAI_W,stormy,no,45.7,43.31,2024-09-23 12:00:00,2024-09-23 15:01:12,2024-09-23 16:16:12,1,delivered,5,358.43
SHP-17646,7646.0,fedex,clothing,ev van,standard,east,WH_KOLKATA_E,stormy,no,144.6,41.17,2024-09-24 15:00:00,2024-09-24 20:12:36,2024-09-24 19:30:36,1,delivered,4,846.51
SHP-17647,7647.0,shadowfax,automobile parts,scooter,two day,north,WH_DELHI_N,foggy,no,177.3,0.67,2024-09-25 18:00:00,2024-09-25 23:56:24,2024-09-26 01:27:36,1,delivered,4,887.37
SHP-17648,7648.0,delhivery,pharmacy,ev van,two day,west,WH_MUMBAI_W,clear,no,238.5,17.85,2024-09-26 21:00:00,2024-09-27 04:18:00,2024-09-27 06:05:24,1,delivered,4,1246.05
SHP-17649,7649.0,fedex,clothing,scooter,express,central,WH_NAGPUR_C,foggy,yes,86.2,34.02,2024-09-27 00:00:00,2024-09-27 03:55:12,2024-09-28 02:33:00,0,delayed,3,583.06
SHP-17650,7650.0,xpressbees,clothing,ev van,express,central,WH_NAGPUR_C,foggy,yes,172.8,49.0,2024-09-28 03:00:00,2024-09-28 08:50:24,2024-09-29 08:49:12,0,failed,2,1061.0
SHP-17651,7651.0,dhl,electronics,ev van,two day,south,WH_BLR_S,stormy,no,174.8,1.84,2024-07-01 06:00:00,2024-07-01 11:52:48,2024-07-01 12:52:48,1,delivered,5,879.52
SHP-17652,7652.0,fedex,furniture,truck,standard,central,WH_NAGPUR_C,cold,no,50.8,1.97,2024-07-02 09:00:00,2024-07-02 12:07:48,2024-07-02 11:50:24,1,delivered,3,259.91
SHP-17653,7653.0,ekart,electronics,bike,same day,central,WH_NAGPUR_C,foggy,no,7.0,8.22,2024-07-03 12:00:00,2024-07-03 14:09:36,2024-07-03 15:50:24,1,delivered,5,159.66
SHP-17654,7654.0,ekart,pharmacy,truck,express,central,WH_NAGPUR_C,clear,yes,182.3,47.14,2024-07-04 15:00:00,2024-07-04 21:03:00,2024-07-05 06:26:24,0,delayed,3,1102.92
SHP-17655,7655.0,blue dart,groceries,ev van,two day,central,WH_NAGPUR_C,clear,no,162.0,20.68,2024-07-05 18:00:00,2024-07-05 23:36:00,2024-07-05 23:24:36,1,delivered,3,872.04
SHP-17656,7656.0,ekart,pharmacy,ev van,express,south,WH_BLR_S,clear,yes,284.2,17.43,2024-07-06 21:00:00,2024-07-07 05:19:12,2024-07-07 20:29:24,0,delayed,2,1523.29
SHP-17657,7657.0,amazon logistics,clothing,van,express,east,WH_KOLKATA_E,cold,yes,179.9,21.93,2024-07-07 00:00:00,2024-07-07 06:00:00,2024-07-08 05:48:36,0,failed,2,1015.29
SHP-17658,7658.0,ecom express,clothing,van,same day,west,WH_MUMBAI_W,stormy,no,60.8,5.95,2024-07-08 03:00:00,2024-07-08 06:21:00,2024-07-08 05:37:12,1,delivered,5,421.85
SHP-17659,7659.0,shadowfax,electronics,van,same day,central,WH_NAGPUR_C,rainy,yes,223.4,42.26,2024-07-09 06:00:00,2024-07-09 12:57:36,2024-07-10 13:24:36,0,delayed,3,1343.78
SHP-17660,7660.0,shadowfax,electronics,scooter,standard,north,WH_DELHI_N,hot,no,7.5,24.3,2024-07-10 09:00:00,2024-07-10 11:10:12,2024-07-10 10:19:48,1,delivered,4,110.4
SHP-17661,7661.0,shadowfax,electronics,truck,standard,north,WH_DELHI_N,cold,no,211.6,24.52,2024-07-11 12:00:00,2024-07-11 18:42:00,2024-07-11 18:46:48,1,delivered,3,1131.56
SHP-17662,7662.0,fedex,documents,ev van,two day,central,WH_NAGPUR_C,foggy,no,244.0,40.17,2024-07-12 15:00:00,2024-07-12 22:25:12,2024-07-12 23:51:36,1,delivered,4,1340.51
SHP-17663,7663.0,dhl,fragile items,scooter,two day,west,WH_MUMBAI_W,hot,no,51.9,9.2,2024-07-13 18:00:00,2024-07-13 21:09:00,2024-07-13 21:59:24,1,delivered,4,287.1
SHP-17664,7664.0,shadowfax,pharmacy,ev van,standard,south,WH_BLR_S,hot,no,83.1,13.44,2024-07-14 21:00:00,2024-07-15 00:51:00,2024-07-15 02:10:48,1,delivered,4,455.82
SHP-17665,7665.0,amazon logistics,documents,bike,same day,central,WH_NAGPUR_C,rainy,no,29.8,14.98,2024-07-15 00:00:00,2024-07-15 02:39:36,2024-07-15 03:49:12,1,delivered,5,293.94
SHP-17666,7666.0,dhl,automobile parts,bike,express,south,WH_BLR_S,cold,yes,59.9,13.57,2024-07-16 03:00:00,2024-07-16 06:19:48,2024-07-16 13:33:36,0,delayed,3,390.21
SHP-17667,7667.0,shadowfax,cosmetics,ev van,express,west,WH_MUMBAI_W,cold,no,76.4,17.39,2024-07-17 06:00:00,2024-07-17 09:42:00,2024-07-17 10:27:00,1,delivered,4,484.17
SHP-17668,7668.0,fedex,fragile items,bike,same day,central,WH_NAGPUR_C,hot,no,84.7,38.09,2024-07-18 09:00:00,2024-07-18 12:52:48,2024-07-18 12:01:48,1,delivered,3,637.77
SHP-17669,7669.0,ekart,automobile parts,van,same day,central,WH_NAGPUR_C,cold,no,137.6,42.17,2024-07-19 12:00:00,2024-07-19 17:03:36,2024-07-19 17:52:12,1,delivered,4,914.51
SHP-17670,7670.0,ekart,cosmetics,ev van,express,west,WH_MUMBAI_W,foggy,yes,283.6,5.09,2024-07-20 15:00:00,2024-07-20 23:18:00,2024-07-21 17:13:48,0,delayed,3,1483.27
SHP-17671,7671.0,delhivery,automobile parts,van,two day,east,WH_KOLKATA_E,hot,no,22.9,2.19,2024-07-21 18:00:00,2024-07-21 20:30:36,2024-07-21 22:30:00,1,delivered,5,121.07
SHP-17672,7672.0,dhl,documents,scooter,same day,south,WH_BLR_S,stormy,yes,102.9,10.82,2024-07-22 21:00:00,2024-07-23 01:17:24,2024-07-23 21:07:48,0,delayed,2,646.96
SHP-17673,7673.0,xpressbees,fragile items,bike,two day,north,WH_DELHI_N,stormy,no,66.4,44.71,2024-07-23 00:00:00,2024-07-23 03:28:48,2024-07-23 04:28:48,1,delivered,3,466.13
SHP-17674,7674.0,xpressbees,clothing,ev bike,same day,north,WH_DELHI_N,rainy,yes,226.3,11.98,2024-07-24 03:00:00,2024-07-24 10:01:48,2024-07-25 06:50:24,0,delayed,2,1267.44
SHP-17675,7675.0,ecom express,documents,scooter,express,north,WH_DELHI_N,foggy,yes,280.5,40.82,2024-07-25 06:00:00,2024-07-25 14:13:48,2024-07-26 12:55:12,0,failed,1,1574.96
SHP-17676,7676.0,delhivery,automobile parts,bike,express,east,WH_KOLKATA_E,clear,no,130.6,4.9,2024-07-26 09:00:00,2024-07-26 13:54:00,2024-07-26 14:54:36,1,delivered,4,717.7
SHP-17677,7677.0,xpressbees,clothing,van,standard,south,WH_BLR_S,foggy,no,270.3,9.45,2024-07-27 12:00:00,2024-07-27 20:00:36,2024-07-27 19:10:48,1,delivered,4,1379.85
SHP-17678,7678.0,amazon logistics,furniture,scooter,same day,east,WH_KOLKATA_E,clear,yes,257.3,21.09,2024-07-28 15:00:00,2024-07-28 22:43:12,2024-07-29 21:35:24,0,delayed,2,1449.77
SHP-17679,7679.0,dhl,groceries,ev van,same day,east,WH_KOLKATA_E,stormy,yes,107.9,31.37,2024-07-29 18:00:00,2024-07-29 22:24:00,2024-07-30 11:30:00,0,delayed,2,733.61
SHP-17680,7680.0,ekart,electronics,ev bike,two day,west,WH_MUMBAI_W,foggy,no,31.6,23.73,2024-07-30 21:00:00,2024-07-30 23:42:00,2024-07-31 01:09:36,1,delivered,4,229.19
SHP-17681,7681.0,dhl,documents,ev van,express,north,WH_DELHI_N,clear,no,290.9,10.56,2024-07-31 00:00:00,2024-07-31 08:27:36,2024-07-31 09:48:36,1,delivered,5,1536.18
SHP-17682,7682.0,xpressbees,furniture,ev van,standard,north,WH_DELHI_N,rainy,no,243.1,7.37,2024-08-01 03:00:00,2024-08-01 10:24:00,2024-08-01 11:01:48,1,delivered,5,1237.61
SHP-17683,7683.0,amazon logistics,pharmacy,ev van,two day,north,WH_DELHI_N,cold,no,215.9,15.79,2024-08-02 06:00:00,2024-08-02 12:48:00,2024-08-02 12:15:36,1,delivered,3,1126.87
SHP-17684,7684.0,shadowfax,cosmetics,truck,same day,west,WH_MUMBAI_W,clear,no,133.2,34.0,2024-08-03 09:00:00,2024-08-03 13:57:36,2024-08-03 13:42:36,1,delivered,5,868.0
SHP-17685,7685.0,fedex,clothing,scooter,standard,central,WH_NAGPUR_C,rainy,no,64.1,3.06,2024-08-04 12:00:00,2024-08-04 15:25:12,2024-08-04 16:38:24,1,delivered,5,329.68
SHP-17686,7686.0,shadowfax,documents,bike,express,south,WH_BLR_S,foggy,yes,101.5,49.52,2024-08-05 15:00:00,2024-08-05 19:15:36,2024-08-06 07:42:00,0,delayed,2,706.57
SHP-17687,7687.0,delhivery,electronics,bike,two day,north,WH_DELHI_N,hot,no,138.4,9.68,2024-08-06 18:00:00,2024-08-06 23:04:48,2024-08-06 23:10:48,1,delivered,4,721.04
SHP-17688,7688.0,shadowfax,electronics,scooter,two day,central,WH_NAGPUR_C,cold,no,188.8,33.08,2024-08-07 21:00:00,2024-08-08 03:12:00,2024-08-08 02:25:48,1,delivered,5,1043.24
SHP-17689,7689.0,delhivery,groceries,ev van,same day,south,WH_BLR_S,hot,no,34.8,33.69,2024-08-08 00:00:00,2024-08-08 02:46:12,2024-08-08 03:54:36,1,delivered,4,375.07
SHP-17690,7690.0,ecom express,pharmacy,scooter,standard,west,WH_MUMBAI_W,clear,no,214.9,30.45,2024-08-09 03:00:00,2024-08-09 09:46:48,2024-08-09 08:47:24,1,delivered,5,1165.85
SHP-17691,7691.0,ecom express,groceries,bike,same day,central,WH_NAGPUR_C,foggy,no,218.5,21.34,2024-08-10 06:00:00,2024-08-10 12:51:36,2024-08-10 12:00:00,1,delivered,4,1256.52
SHP-17692,7692.0,fedex,electronics,ev van,standard,central,WH_NAGPUR_C,cold,no,296.8,17.98,2024-08-11 09:00:00,2024-08-11 17:36:00,2024-08-11 16:36:36,1,delivered,5,1537.94
SHP-17693,7693.0,dhl,clothing,van,express,south,WH_BLR_S,hot,yes,233.8,2.48,2024-08-12 12:00:00,2024-08-12 19:12:00,2024-08-13 09:38:24,0,failed,2,1226.44
SHP-17694,7694.0,xpressbees,groceries,van,express,north,WH_DELHI_N,clear,no,297.0,20.47,2024-08-13 15:00:00,2024-08-13 23:36:00,2024-08-13 23:29:24,1,delivered,4,1596.41
SHP-17695,7695.0,shadowfax,groceries,scooter,two day,east,WH_KOLKATA_E,foggy,no,20.1,14.68,2024-08-14 18:00:00,2024-08-14 20:27:00,2024-08-14 22:10:48,1,delivered,4,144.54
SHP-17696,7696.0,xpressbees,fragile items,ev van,same day,central,WH_NAGPUR_C,foggy,no,278.7,21.08,2024-08-15 21:00:00,2024-08-16 05:11:24,2024-08-16 04:46:12,1,delivered,3,1556.74
SHP-17697,7697.0,fedex,pharmacy,van,express,east,WH_KOLKATA_E,rainy,yes,239.5,33.67,2024-08-16 00:00:00,2024-08-16 07:19:12,2024-08-17 06:25:12,0,delayed,2,1348.51
SHP-17698,7698.0,ekart,automobile parts,ev van,standard,central,WH_NAGPUR_C,cold,no,170.4,17.55,2024-08-17 03:00:00,2024-08-17 08:47:24,2024-08-17 09:04:12,1,delivered,5,904.65
SHP-17699,7699.0,delhivery,clothing,ev van,standard,central,WH_NAGPUR_C,hot,no,106.6,26.57,2024-08-18 06:00:00,2024-08-18 10:22:12,2024-08-18 11:01:48,1,delivered,5,612.71
SHP-17700,7700.0,ekart,groceries,van,two day,east,WH_KOLKATA_E,clear,no,44.2,47.57,2024-08-19 09:00:00,2024-08-19 11:58:48,2024-08-19 11:13:12,1,delivered,5,363.71
SHP-17701,7701.0,fedex,electronics,ev bike,same day,central,WH_NAGPUR_C,rainy,no,21.5,7.24,2024-08-20 12:00:00,2024-08-20 14:28:48,2024-08-20 15:51:00,1,delivered,4,229.22
SHP-17702,7702.0,dhl,electronics,bike,express,central,WH_NAGPUR_C,stormy,yes,108.6,42.57,2024-08-21 15:00:00,2024-08-21 19:24:36,2024-08-22 16:05:24,0,failed,2,720.71
SHP-17703,7703.0,fedex,automobile parts,ev bike,two day,west,WH_MUMBAI_W,hot,no,123.6,13.76,2024-08-22 18:00:00,2024-08-22 22:45:00,2024-08-22 22:30:36,1,delivered,4,659.28
SHP-17704,7704.0,ekart,furniture,ev van,two day,west,WH_MUMBAI_W,hot,no,227.5,23.73,2024-08-23 21:00:00,2024-08-24 04:03:36,2024-08-24 04:19:12,1,delivered,4,1208.69
SHP-17705,7705.0,ecom express,pharmacy,scooter,standard,east,WH_KOLKATA_E,cold,no,77.4,9.26,2024-08-24 00:00:00,2024-08-24 03:43:12,2024-08-24 05:04:48,1,delivered,4,414.78
SHP-17706,7706.0,dhl,documents,bike,two day,central,WH_NAGPUR_C,stormy,no,84.5,10.74,2024-08-25 03:00:00,2024-08-25 06:52:48,2024-08-25 08:48:00,1,delivered,5,454.72
SHP-17707,7707.0,amazon logistics,electronics,bike,standard,south,WH_BLR_S,rainy,no,56.2,6.17,2024-08-26 06:00:00,2024-08-26 09:15:00,2024-08-26 08:25:48,1,delivered,4,299.51
SHP-17708,7708.0,dhl,automobile parts,ev van,two day,west,WH_MUMBAI_W,clear,no,285.4,18.23,2024-08-27 09:00:00,2024-08-27 17:20:24,2024-08-27 18:46:48,1,delivered,4,1481.69
SHP-17709,7709.0,dhl,pharmacy,scooter,same day,central,WH_NAGPUR_C,clear,no,45.7,7.24,2024-08-28 12:00:00,2024-08-28 15:01:12,2024-08-28 14:55:12,1,delivered,5,350.22
SHP-17710,7710.0,shadowfax,cosmetics,van,same day,central,WH_NAGPUR_C,stormy,yes,158.0,24.62,2024-08-29 15:00:00,2024-08-29 20:30:36,2024-08-30 08:23:24,0,delayed,2,963.86
SHP-17711,7711.0,ekart,furniture,van,standard,central,WH_NAGPUR_C,stormy,no,108.3,43.13,2024-08-30 18:00:00,2024-08-30 22:24:36,2024-08-30 23:15:00,1,delivered,5,670.89
SHP-17712,7712.0,blue dart,groceries,scooter,same day,north,WH_DELHI_N,clear,no,170.8,43.54,2024-08-31 21:00:00,2024-09-01 02:48:00,2024-09-01 02:51:36,1,delivered,5,1084.62
SHP-17713,7713.0,dhl,groceries,bike,two day,central,WH_NAGPUR_C,foggy,no,3.7,45.51,2024-09-01 00:00:00,2024-09-01 02:04:48,2024-09-01 02:04:48,1,delivered,5,155.03
SHP-17714,7714.0,amazon logistics,cosmetics,van,two day,north,WH_DELHI_N,foggy,no,258.4,23.75,2024-09-02 03:00:00,2024-09-02 10:44:24,2024-09-02 09:51:36,1,delivered,4,1363.25
SHP-17715,7715.0,blue dart,documents,ev van,two day,south,WH_BLR_S,foggy,no,121.5,2.37,2024-09-03 06:00:00,2024-09-03 10:42:00,2024-09-03 10:08:24,1,delivered,5,614.61
SHP-17716,7716.0,dhl,groceries,van,standard,east,WH_KOLKATA_E,rainy,no,79.0,25.59,2024-09-04 09:00:00,2024-09-04 12:45:36,2024-09-04 14:30:36,1,delivered,3,471.77
SHP-17717,7717.0,xpressbees,documents,ev bike,express,north,WH_DELHI_N,rainy,yes,94.5,22.47,2024-09-05 12:00:00,2024-09-05 16:06:00,2024-09-06 14:08:24,0,failed,1,589.91
SHP-17718,7718.0,xpressbees,furniture,ev bike,two day,west,WH_MUMBAI_W,hot,no,290.4,49.41,2024-09-06 15:00:00,2024-09-06 23:27:00,2024-09-06 23:18:36,1,delivered,4,1600.23
SHP-17719,7719.0,dhl,automobile parts,ev bike,express,central,WH_NAGPUR_C,hot,yes,111.2,23.52,2024-09-07 18:00:00,2024-09-07 22:28:12,2024-09-08 17:59:24,0,failed,1,676.56
SHP-17720,7720.0,delhivery,automobile parts,truck,same day,south,WH_BLR_S,hot,no,141.6,36.41,2024-09-08 21:00:00,2024-09-09 02:09:00,2024-09-09 04:03:00,1,delivered,4,917.23
SHP-17721,7721.0,delhivery,furniture,van,standard,south,WH_BLR_S,cold,no,259.3,49.14,2024-09-09 00:00:00,2024-09-09 07:45:36,2024-09-09 08:07:48,1,delivered,4,1443.92
SHP-17722,7722.0,fedex,clothing,scooter,two day,east,WH_KOLKATA_E,rainy,no,297.1,34.5,2024-09-10 03:00:00,2024-09-10 11:36:00,2024-09-10 13:05:24,1,delivered,4,1596.5
SHP-17723,7723.0,amazon logistics,automobile parts,scooter,express,north,WH_DELHI_N,foggy,yes,292.0,43.16,2024-09-11 06:00:00,2024-09-11 14:29:24,2024-09-12 14:08:24,0,delayed,2,1632.7206
SHP-17724,7724.0,delhivery,documents,truck,express,north,WH_DELHI_N,stormy,yes,41.2,48.39,2024-09-12 09:00:00,2024-09-12 11:55:12,2024-09-12 17:44:24,0,delayed,3,401.17
SHP-17725,7725.0,amazon logistics,groceries,van,two day,central,WH_NAGPUR_C,stormy,no,167.8,42.25,2024-09-13 12:00:00,2024-09-13 17:43:48,2024-09-13 18:12:36,1,delivered,5,965.75
SHP-17726,7726.0,xpressbees,fragile items,van,same day,central,WH_NAGPUR_C,hot,no,180.0,36.66,2024-09-14 15:00:00,2024-09-14 21:00:00,2024-09-14 21:35:24,1,delivered,3,1109.98
SHP-17727,7727.0,delhivery,documents,van,express,east,WH_KOLKATA_E,cold,yes,235.1,18.83,2024-09-15 18:00:00,2024-09-16 01:13:12,2024-09-16 11:57:00,0,delayed,3,1281.99
SHP-17728,7728.0,dhl,furniture,ev van,express,west,WH_MUMBAI_W,foggy,yes,145.9,32.44,2024-09-16 21:00:00,2024-09-17 02:14:24,2024-09-17 18:00:00,0,delayed,2,876.82
SHP-17729,7729.0,blue dart,automobile parts,truck,same day,north,WH_DELHI_N,stormy,yes,141.9,49.52,2024-09-17 00:00:00,2024-09-17 05:09:00,2024-09-17 22:18:36,0,delayed,2,958.39
SHP-17730,7730.0,ecom express,documents,ev van,express,north,WH_DELHI_N,cold,no,108.5,16.79,2024-09-18 03:00:00,2024-09-18 07:24:36,2024-09-18 08:22:12,1,delivered,5,642.87
SHP-17731,7731.0,fedex,pharmacy,ev van,standard,central,WH_NAGPUR_C,stormy,no,219.5,12.2,2024-09-19 06:00:00,2024-09-19 12:52:48,2024-09-19 14:11:24,1,delivered,3,1134.1
SHP-17732,7732.0,ekart,electronics,truck,express,north,WH_DELHI_N,rainy,yes,196.6,38.52,2024-09-20 09:00:00,2024-09-20 15:22:12,2024-09-21 10:11:24,0,delayed,3,1148.56
SHP-17733,7733.0,ekart,automobile parts,bike,express,west,WH_MUMBAI_W,hot,yes,295.3,3.51,2024-09-21 12:00:00,2024-09-21 20:33:36,2024-09-22 04:24:00,0,delayed,2,1537.03
SHP-17734,7734.0,shadowfax,groceries,ev van,same day,central,WH_NAGPUR_C,clear,no,176.5,35.28,2024-09-22 15:00:00,2024-09-22 20:55:12,2024-09-22 22:15:00,1,delivered,4,1088.34
SHP-17735,7735.0,delhivery,cosmetics,van,same day,west,WH_MUMBAI_W,hot,no,275.8,30.83,2024-09-23 18:00:00,2024-09-24 02:07:48,2024-09-24 02:16:48,1,delivered,4,1571.49
SHP-17736,7736.0,ekart,furniture,van,standard,south,WH_BLR_S,clear,no,290.2,30.03,2024-09-24 21:00:00,2024-09-25 05:27:00,2024-09-25 05:26:24,1,delivered,4,1541.09
SHP-17737,7737.0,blue dart,groceries,van,standard,east,WH_KOLKATA_E,rainy,no,12.1,19.42,2024-09-25 00:00:00,2024-09-25 02:16:12,2024-09-25 02:36:36,1,delivered,5,118.76
SHP-17738,7738.0,shadowfax,groceries,bike,two day,west,WH_MUMBAI_W,cold,no,12.3,2.72,2024-09-26 03:00:00,2024-09-26 05:16:12,2024-09-26 05:18:36,1,delivered,4,95.6674
SHP-17739,7739.0,xpressbees,electronics,truck,two day,east,WH_KOLKATA_E,rainy,no,294.6,30.67,2024-09-27 06:00:00,2024-09-27 14:33:00,2024-09-27 14:33:36,1,delivered,3,1565.01
SHP-17740,7740.0,fedex,documents,bike,two day,central,WH_NAGPUR_C,stormy,no,180.2,13.86,2024-09-28 09:00:00,2024-09-28 15:00:00,2024-09-28 16:25:48,1,delivered,4,942.58
SHP-17741,7741.0,blue dart,groceries,ev bike,same day,north,WH_DELHI_N,foggy,no,85.7,25.1,2024-07-01 12:00:00,2024-07-01 15:54:00,2024-07-01 15:16:48,1,delivered,5,603.8
SHP-17742,7742.0,dhl,groceries,ev van,two day,central,WH_NAGPUR_C,clear,no,133.0,32.83,2024-07-02 15:00:00,2024-07-02 19:57:36,2024-07-02 21:52:12,1,delivered,5,763.49
SHP-17743,7743.0,amazon logistics,documents,van,same day,central,WH_NAGPUR_C,stormy,yes,133.6,11.2,2024-07-03 18:00:00,2024-07-03 22:58:12,2024-07-04 08:55:48,0,failed,1,801.6
SHP-17744,7744.0,blue dart,pharmacy,van,two day,north,WH_DELHI_N,foggy,no,32.1,6.91,2024-07-04 21:00:00,2024-07-04 23:42:36,2024-07-04 23:06:36,1,delivered,3,181.23
SHP-17745,7745.0,blue dart,fragile items,ev bike,two day,east,WH_KOLKATA_E,cold,no,273.3,14.09,2024-07-05 00:00:00,2024-07-05 08:04:12,2024-07-05 08:51:00,1,delivered,4,1408.77
SHP-17746,7746.0,blue dart,automobile parts,ev van,express,west,WH_MUMBAI_W,rainy,yes,97.1,31.73,2024-07-06 03:00:00,2024-07-06 07:09:36,2024-07-06 15:00:36,0,failed,1,630.69
